tavg,prcp,snow,year,month,day,hour,wind,wind_flag
6.8,1,0,2021,1,15,0,25.25,0
6.8,1,0,2021,1,16,0,20.9,0
8.7,1,0,2021,1,17,0,22.65,0
9.2,1,0,2021,1,18,0,17.799999999999997,0
8.6,1,0,2021,1,19,0,25.35,0
10.1,1,0,2021,1,20,0,24.6,0
11.3,1,0,2021,1,21,0,33.15,1
12.8,1,0,2021,1,22,0,48.55,1
11.8,1,0,2021,1,23,0,42.2,1
13.1,1,0,2021,1,24,0,37.05,1
11.9,1,0,2021,1,25,0,29.599999999999998,0
10.4,1,0,2021,1,26,0,20.65,0
10.1,1,0,2021,1,27,0,19.5,0
11.9,1,0,2021,1,28,0,15.200000000000001,0
14.7,1,0,2021,1,29,0,25.25,0
13.9,1,0,2021,1,30,0,36.45,1
14.3,1,0,2021,1,31,0,39.0,1
16.4,1,0,2021,2,1,0,39.05,1
14.7,1,0,2021,2,2,0,23.7,0
13.4,1,0,2021,2,3,0,28.65,0
11.8,1,0,2021,2,4,0,14.75,0
13.0,1,0,2021,2,5,0,27.55,0
13.9,1,0,2021,2,6,0,30.799999999999997,1
11.1,1,0,2021,2,7,0,20.2,0
11.5,1,0,2021,2,8,0,34.2,1
12.0,1,0,2021,2,9,0,35.0,1
11.2,1,0,2021,2,10,0,28.35,0
11.3,1,0,2021,2,11,0,21.35,0
11.8,0,0,2021,2,12,0,18.4,0
13.5,1,0,2021,2,13,0,19.2,0
9.8,1,0,2021,2,14,0,27.8,0
9.5,1,0,2021,2,15,0,18.950000000000003,0
12.2,1,0,2021,2,16,0,38.4,1
11.1,1,0,2021,2,17,0,22.9,0
11.0,1,0,2021,2,18,0,19.1,0
9.5,1,0,2021,2,19,0,23.049999999999997,0
12.1,1,0,2021,2,20,0,14.0,0
13.3,1,0,2021,2,21,0,54.300000000000004,1
13.2,1,0,2021,2,22,0,40.1,1
14.2,1,0,2021,2,23,0,19.0,0
13.7,1,0,2021,2,24,0,13.55,0
12.4,1,0,2021,2,25,0,21.200000000000003,0
12.3,1,0,2021,2,26,0,15.149999999999999,0
11.7,1,0,2021,2,27,0,23.05,0
12.3,1,0,2021,2,28,0,26.85,0
13.4,1,0,2021,3,1,0,31.45,1
13.4,1,0,2021,3,2,0,35.65,1
12.7,1,0,2021,3,3,0,16.95,0
12.3,1,0,2021,3,4,0,15.5,0
11.4,1,0,2021,3,5,0,15.95,0
12.3,1,0,2021,3,6,0,21.85,0
12.2,1,0,2021,3,7,0,19.25,0
11.8,1,0,2021,3,8,0,20.6,0
10.9,1,0,2021,3,9,0,23.349999999999998,0
10.8,1,0,2021,3,10,0,26.650000000000002,0
11.6,1,0,2021,3,11,0,31.4,1
12.2,1,0,2021,3,12,0,18.6,0
12.3,1,0,2021,3,13,0,34.25,1
12.0,1,0,2021,3,14,0,22.7,0
12.4,1,0,2021,3,15,0,24.85,0
11.6,1,0,2021,3,16,0,21.25,0
12.3,1,0,2021,3,17,0,22.2,0
11.4,1,0,2021,3,18,0,24.549999999999997,0
7.8,1,0,2021,3,19,0,22.2,0
9.2,1,0,2021,3,20,0,35.05,1
9.7,1,0,2021,3,21,0,24.3,0
11.5,1,0,2021,3,22,0,22.65,0
11.7,1,0,2021,3,23,0,22.3,0
12.0,0,0,2021,3,24,0,24.6,0
12.5,0,0,2021,3,25,0,20.1,0
13.6,1,0,2021,3,26,0,21.9,0
